url,date,headline,article,prep,lem,token
https://io.tsu.ru/tutorcenter/tpost/szy7a3y3b1-kurs-pogruzhenie-v-universitetskuyu-sred,28.12.2024,Курс «Погружение в университетскую среду» отмечен премией ТГУ,"Тьюторская служба ТГУ награждена премией Томского университета за курс «Погружение в университетскую среду»! Награждение прошло на торжественном Ученом совете вуза под занавес 2024 года.В составе авторского коллектива: Вадим Пак, Дарья Мамизерова, Маргарита Панфилова и Алина Суханова. Задача курса — помочь только что поступившим студентам эффективно адаптироваться к университетской жизни. В курс включены как очные встречи с тьюторами и выпускниками университета, так и онлайн-модули, где слушатели знакомятся с деятельностью подразделений университета, которые ведут научную, предпринимательскую, общественную и иные виды деятельности. За выполнение заданий курса студенты получают баллы и зарабатывают рейтинг. Студентов с самыми высокими баллами награждают подарками с символикой ТГУ.В 2024 году курс прошел уже в пятый раз. Поздравляем Тьюторскую службу с наградой!",тьюторская служба награждена премией томского университета курс погружение университетскую среду награждение прошло торжественном ученом совете вуза занавес  годав составе авторского коллектива вадим пак дарья мамизерова маргарита панфилова алина суханова задача курса помочь поступившим студентам эффективно адаптироваться университетской жизни курс включены очные встречи тьюторами выпускниками университета онлайнмодули слушатели знакомятся деятельностью подразделений университета которые ведут научную предпринимательскую общественную иные виды деятельности выполнение заданий курса студенты получают баллы зарабатывают рейтинг студентов самыми высокими баллами награждают подарками символикой тгув  году курс прошел пятый поздравляем тьюторскую службу наградой,тьюторский служба наградить премия томский университет курс погружение университетский среда награждение пройти торжественный учёный совет вуз занавес годать состав авторский коллектив вадим пак дарья мамизеров маргарита панфилов алина суханов задача курс помочь поступить студент эффективно адаптироваться университетский жизнь курс включить очный встреча тьютор выпускник университет онлайнмодуль слушатель знакомиться деятельность подразделение университет который вести научный предпринимательский общественный иной вид деятельность выполнение задание курс студент получать балл зарабатывать рейтинг студент самый высокий балл награждать подарок символика тгуть год курс пройти пятый поздравлять тьюторский служба награда,тьюторский служба наградить премия томский университет курс погружение университетский среда награждение пройти торжественный учёный совет вуз занавес годать состав авторский коллектив вадим пак дарья мамизеров маргарита панфилов алина суханов задача курс помочь поступить студент эффективно адаптироваться университетский жизнь курс включить очный встреча тьютор выпускник университет онлайнмодуль слушатель знакомиться деятельность подразделение университет который вести научный предпринимательский общественный иной вид деятельность выполнение задание курс студент получать балл зарабатывать рейтинг студент самый высокий балл награждать подарок символика тгуть год курс пройти пятый поздравлять тьюторский служба награда
https://io.tsu.ru/news/tpost/l66pvy4061-programma-letnei-smeni-tsrsk-dlya-shkoln,24.12.2024,Программа летней смены ЦРСК для школьников — победитель конкурса,"Программа летней смены «Билет в будущее: дерзай и открывай!» заняла первое место на Всероссийском конкурсе «Лучшая программа организаций отдыха детей и их оздоровления» в номинации «Программы стационарных лагерей». В разработке смены приняли участие Центр развития современных компетенций ТГУ и Центр «Планирование карьеры».Конкурс программ и методических кейсов проводился с августа по декабрь 2024 года с целью повышения качества программно-методического обеспечения организаций отдыха детей и их оздоровления. Итоги конкурса подвели в Федеральном центре организационно-методического обеспечения физического воспитания (ФЦОМОФВ) в Москве.Лагерная смена «Билет в будущее: дерзай и открывай!» была впервые реализована в августе этого года в Центре «Солнечный» для 160 школьников Томской области — учеников 5-11 классов. В течение двух недель на смене ребята пробовали себя в научной деятельности под руководством студентов и сотрудников вузов.За организацию образовательной и культурно-досуговой программы смены отвечал ЦРСК ТГУ. В реализации образовательной программы приняли участие студенты и представители факультетов и институтов ТГУ, а также сотрудники Сибирского ботанического сада ТГУ, СКБ «Беспилотные авиационные системы» и ПИШ «Агробиотек» ТГУ.Главной задачей технической смены было дать детям возможность почувствовать себя настоящими учеными и погрузиться в культуру научно-исследовательской деятельности в неформальной обстановке детского лагеря. В рамках смены ребята развивали свои универсальные компетенции, учились решать реальные научные кейсы, предложенные факультетами и институтами, реализовывали собственные проекты, а также участвовали в рефлексиях, чтобы осознать полученный опыт и понять, чем они хотели бы заниматься в университете в будущем.",программа летней смены билет будущее дерзай открывай заняла первое место всероссийском конкурсе лучшая программа организаций отдыха детей оздоровления номинации программы стационарных лагерей разработке смены приняли участие центр развития современных компетенций центр планирование карьерыконкурс программ методических кейсов проводился августа декабрь  года целью повышения качества программнометодического обеспечения организаций отдыха детей оздоровления итоги конкурса подвели федеральном центре организационнометодического обеспечения физического воспитания фцомофв москвелагерная смена билет будущее дерзай открывай впервые реализована августе года центре солнечный  школьников томской области учеников  классов течение двух недель смене ребята пробовали научной деятельности руководством студентов сотрудников вузовза организацию образовательной культурнодосуговой программы смены отвечал црск реализации образовательной программы приняли участие студенты представители факультетов институтов также сотрудники сибирского ботанического сада беспилотные авиационные системы пиш агробиотек тгуглавной задачей технической смены дать детям возможность почувствовать настоящими учеными погрузиться культуру научноисследовательской деятельности неформальной обстановке детского лагеря рамках смены ребята развивали свои универсальные компетенции учились решать реальные научные кейсы предложенные факультетами институтами реализовывали собственные проекты также участвовали рефлексиях осознать полученный опыт понять хотели заниматься университете будущем,программа летний смена билет будущее дерзать открывать занять первый место всероссийский конкурс хороший программа организация отдых ребёнок оздоровление номинация программа стационарный лагерь разработка смена принять участие центр развитие современный компетенция центр планирование карьерыконкурс программа методический кейс проводиться август декабрь год цель повышение качество программнометодический обеспечение организация отдых ребёнок оздоровление итог конкурс подвести федеральный центр организационнометодический обеспечение физический воспитание фцомофть москвелагерный смена билет будущее дерзать открывать впервые реализовать август год центр солнечный школьник томский область ученик класс течение два неделя смена ребята пробовать научный деятельность руководство студент сотрудник вузовз организация образовательный культурнодосуговый программа смена отвечать црск реализация образовательный программа принять участие студент представитель факультет институт также сотрудник сибирский ботанический сад беспилотный авиационный система пиш агробиотека тгуглавный задача технический смена дать ребёнок возможность почувствовать настоящий учёный погрузиться культура научноисследовательский деятельность неформальный обстановка детский лагерь рамка смена ребята развивать свой универсальный компетенция учиться решать реальный научный кейс предложить факультет институт реализовывать собственный проект также участвовать рефлексия осознать получить опыт понять хотеть заниматься университет будущее,программа летний смена билет будущее дерзать открывать занять первый место всероссийский конкурс хороший программа организация отдых ребёнок оздоровление номинация программа стационарный лагерь разработка смена принять участие центр развитие современный компетенция центр планирование карьерыконкурс программа методический кейс проводиться август декабрь год цель повышение качество программнометодический обеспечение организация отдых ребёнок оздоровление итог конкурс подвести федеральный центр организационнометодический обеспечение физический воспитание фцомофть москвелагерный смена билет будущее дерзать открывать впервые реализовать август год центр солнечный школьник томский область ученик класс течение два неделя смена ребята пробовать научный деятельность руководство студент сотрудник вузовз организация образовательный культурнодосуговый программа смена отвечать црск реализация образовательный программа принять участие студент представитель факультет институт также сотрудник сибирский ботанический сад беспилотный авиационный система пиш агробиотека тгуглавный задача технический смена дать ребёнок возможность почувствовать настоящий учёный погрузиться культура научноисследовательский деятельность неформальный обстановка детский лагерь рамка смена ребята развивать свой универсальный компетенция учиться решать реальный научный кейс предложить факультет институт реализовывать собственный проект также участвовать рефлексия осознать получить опыт понять хотеть заниматься университет будущее
https://io.tsu.ru/model-razvitia-ped-obrazovania/tpost/xsosfeac61-studenti-tgu-prinyali-uchastie-vuniversi,10.12.2024,Студенты ТГУ приняли участие в университетской VR-битве,"Студенты 10 факультетов и учебных институтов Томского государственного университета в «VR-день в ТГУ» приняли участие в битве в виртуальной реальности. Используя специальное оборудование, они на скорость собирали по схеме различные модели. Такая активность способствует развитию пространственного мышления, а также стрессоустойчивости и скорости реакции.VR-битва была организована в ТГУ впервые. В ней приняли участие около 40 человек, в том числе студенты инженерных специальностей.Внедрение VR-технологий в образовательный процесс инженерных специальностей ведется в Томском государственном университете с прошлого года. Проект реализуют Институт образования ТГУ и Передовая инженерная школа «Агробиотек» при поддержке министерства науки и образования Российской Федерации. Быстрее всех выполнили задание — сложили из виртуальных кубов изображенную на рисунке фигуру — студенты Глеб Махрин (ИПМКН), Виктор Шамаков (ФП) и Никита Клоков (БИ). Второе место поделили Илья Рыбачек (ФИПН), Артем Луганский (ИЭМ) и Платон Матвеев (ФилФ), третье — Анастасия Петлина (ГГФ), Виктория Нестеренко (ИО) и Егор Гранин (HITs).После прохождения конкурсного задания участники заполнили форму обратной связи, в которой оценили по шкале от 1 до 5 потенциальную полезность использования VR-технологий в обучении. Средний балл ответов на этот вопрос составил 4. Также опрос выявил, что студенты позитивно относятся к перспективе внедрения VR в образовательный процесс (средний балл ответов: 4,4), а возможные риски для здоровья оценивают как низкие (средний балл ответов: 2,7). Организаторы планируют повторить формат VR-битвы в начале следующего года. Кроме того, в 2025-2026 учебном году в университете будут внедряться новые образовательные программы с использованием технологий виртуальной реальности, направленные на быструю профессионализацию студентов.",студенты  факультетов учебных институтов томского государственного университета vrдень приняли участие битве виртуальной реальности используя специальное оборудование скорость собирали схеме различные модели такая активность способствует развитию пространственного мышления также стрессоустойчивости скорости реакцииvrбитва организована впервые приняли участие  человек числе студенты инженерных специальностейвнедрение vrтехнологий образовательный процесс инженерных специальностей ведется томском государственном университете прошлого года проект реализуют образования передовая инженерная школа агробиотек поддержке министерства науки образования российской федерации быстрее выполнили задание сложили виртуальных кубов изображенную рисунке фигуру студенты глеб махрин ипмкн виктор шамаков фп никита клоков би второе место поделили илья рыбачек фипн артем луганский иэм платон матвеев филф третье анастасия петлина ггф виктория нестеренко егор гранин прохождения конкурсного задания участники заполнили форму обратной связи которой оценили шкале   потенциальную полезность использования vrтехнологий обучении средний балл ответов вопрос составил  также опрос выявил студенты позитивно относятся перспективе внедрения vr образовательный процесс средний балл ответов  возможные риски здоровья оценивают низкие средний балл ответов  организаторы планируют повторить формат vrбитвы начале следующего года кроме  учебном году университете будут внедряться новые образовательные программы использованием технологий виртуальной реальности направленные быструю профессионализацию студентов,студент факультет учебный институт томский государственный университет vrдеть принять участие битва виртуальный реальность использовать специальный оборудование скорость собирать схема различный модель такой активность способствовать развитие пространственный мышление также стрессоустойчивость скорость реакцииvrбитва организовать впервые принять участие человек число студент инженерный специальностейвнедрение vrтехнология образовательный процесс инженерный специальность вестись томский государственный университет прошлое год проект реализовать образование передовой инженерный школа агробиотека поддержка министерство наука образование российский федерация быстрый выполнить задание сложить виртуальный куб изобразить рисунок фигура студент глеб махрина ипмкн виктор шамаковый фп никита клок би второе место поделить илья рыбачка фипн артём луганский иэм платон матвеев филф третий анастасия петлина ггф виктория нестеренко егор гранин прохождение конкурсный задание участник заполнить форма обратный связь который оценить шкала потенциальный полезность использование vrтехнология обучение средний балл ответ вопрос составить также опрос выявить студент позитивный относиться перспектива внедрение vr образовательный процесс средний балл ответ возможный риск здоровье оценивать низкий средний балл ответ организатор планировать повторить формат vrбитва начало следующий год кроме учебный год университет быть внедряться новый образовательный программа использование технология виртуальный реальность направить быстрый профессионализация студент,студент факультет учебный институт томский государственный университет vrдеть принять участие битва виртуальный реальность использовать специальный оборудование скорость собирать схема различный модель такой активность способствовать развитие пространственный мышление также стрессоустойчивость скорость реакцииvrбитва организовать впервые принять участие человек число студент инженерный специальностейвнедрение vrтехнология образовательный процесс инженерный специальность вестись томский государственный университет прошлое год проект реализовать образование передовой инженерный школа агробиотека поддержка министерство наука образование российский федерация быстрый выполнить задание сложить виртуальный куб изобразить рисунок фигура студент глеб махрина ипмкн виктор шамаковый фп никита клок би второе место поделить илья рыбачка фипн артём луганский иэм платон матвеев филф третий анастасия петлина ггф виктория нестеренко егор гранин прохождение конкурсный задание участник заполнить форма обратный связь который оценить шкала потенциальный полезность использование vrтехнология обучение средний балл ответ вопрос составить также опрос выявить студент позитивный относиться перспектива внедрение vr образовательный процесс средний балл ответ возможный риск здоровье оценивать низкий средний балл ответ организатор планировать повторить формат vrбитва начало следующий год кроме учебный год университет быть внедряться новый образовательный программа использование технология виртуальный реальность направить быстрый профессионализация студент
https://io.tsu.ru/tutorcenter/tpost/puk0761xs1-shkolniki-i-studenti-razrabativali-ii-re,10.12.2024,Школьники и студенты разрабатывали ИИ-решения для кейсов партнеров на Ассамблее,"В Томском государственном университете прошла Сибирская молодежная ассамблея «Профессии будущего. Искусственный интеллект в действии», организованная Центром развития современных компетенций ТГУ. Студенты вуза и школьники применяли технологии искусственного интеллекта для решения кейсов партнеров ассамблеи.В ассамблее участвовали студенты вузов и СПО и ученики 8-11 классов. ТГУ представляли студенты механико-математического факультета, Института прикладной математики и компьютерных наук, Института образования и Института экономики и менеджмента. Также студенты ТГУ выступили в качестве экспертов и организаторов.Партнерами-кейсодателями события стали кофейня «Белка», стартап «Интекласс» (инвестор: Стартап-студия университетов Томска) и Тьюторская служба ТГУ. Каждый представил на ассамблее реальную проблему своего проекта, которую командам предстояло решить с помощью искусственного интеллекта.Ценные навыки работы с ИИ участники могли получить на мастер-классах. Школьники и студенты учились создавать презентации с использованием нейросетей, применять их для анализа информации, формировать правильный запрос для GPT и многим другим полезным вещам. Кроме того, были проведены мастер-классы, посвященные командной работе, навыкам самоорганизации и другим важным универсальным компетенциям. В течение трех дней команды работали над созданием реальных продуктов, которые можно протестировать. По результатам оценок от экспертов и участников, а также выполнения дополнительных заданий победу одержала команда «Тяжко» (участники из ТГУ, гимназии № 56, школы «Эврика-развитие» и школы «Резонанс»). Она занималась созданием чат-бота с использованием нейросетей для кейса Тьюторской службы ТГУ.Команда «Тяжко» освоила с нуля две нейросети и использовала их в своей работе для решения разных задач: создания презентаций, выполнения дополнительных заданий, а также написания и анализа текстов. Использование искусственного интеллекта в работах дополнительно оценивалось экспертами на защитах каждого дня.Также на Сибирской молодежной ассамблее наградили победителей в индивидуальном зачете — школьников и студентов, набравших максимальное количество баллов за свою работу и рефлексивные эссе, которые они писали в конце каждого дня. Первое место в этой номинации занял Владислав Буртелов, ученик 11 класса гимназии № 56. Наградой для победителей участников стали дипломы и памятные призы от партнеров ассамблеи.Текст и фото: Юлия ЕрмальчукФотографии с мероприятия здесь: https://vk.com/album-176037946_306791104",томском государственном университете прошла сибирская молодежная ассамблея профессии будущего искусственный интеллект действии организованная центром развития современных компетенций студенты вуза школьники применяли технологии искусственного интеллекта решения кейсов партнеров ассамблеив ассамблее участвовали студенты вузов спо ученики  классов представляли студенты механикоматематического факультета института прикладной математики компьютерных наук института образования института экономики менеджмента также студенты выступили качестве экспертов организаторовпартнерамикейсодателями события стали кофейня белка стартап интекласс инвестор стартапстудия университетов томска тьюторская служба каждый представил ассамблее реальную проблему своего проекта которую командам предстояло решить помощью искусственного интеллектаценные навыки работы ии участники могли получить мастерклассах школьники студенты учились создавать презентации использованием нейросетей применять анализа информации формировать правильный запрос gpt многим другим полезным вещам кроме проведены мастерклассы посвященные командной работе навыкам самоорганизации другим важным универсальным компетенциям течение трех дней команды работали созданием реальных продуктов которые протестировать результатам оценок экспертов участников также выполнения дополнительных заданий победу одержала команда тяжко участники гимназии  школы эврикаразвитие школы резонанс занималась созданием чатбота использованием нейросетей кейса тьюторской службы тяжко освоила нуля две нейросети использовала своей работе решения разных задач создания презентаций выполнения дополнительных заданий также написания анализа текстов использование искусственного интеллекта работах дополнительно оценивалось экспертами защитах каждого днятакже сибирской молодежной ассамблее наградили победителей индивидуальном зачете школьников студентов набравших максимальное количество баллов работу рефлексивные эссе которые писали конце каждого дня первое место номинации занял владислав буртелов ученик  класса гимназии  наградой победителей участников стали дипломы памятные призы партнеров ассамблеитекст фото юлия ермальчукфотографии мероприятия httpsvkcomalbum_,томский государственный университет пройти сибирский молодёжный ассамблея профессия будущее искусственный интеллект действие организовать центр развитие современный компетенция студент вуз школьник применять технология искусственный интеллект решение кейс партнёр ассамблеить ассамблея участвовать студент вуз спо ученик класс представлять студент механикоматематический факультет институт прикладной математика компьютерный наука институт образование институт экономика менеджмент также студент выступить качество эксперт организаторовпартнерамикейсодатель событие стать кофейня белок стартап интекласс инвестор стартапстудия университет томск тьюторский служба каждый представить ассамблея реальный проблема свой проект который команда предстоять решить помощь искусственный интеллектаценный навык работа ия участник мочь получить мастеркласса школьник студент учиться создавать презентация использование нейросеть применять анализ информация формировать правильный запрос gpt многий другой полезный вещь кроме провести мастеркласс посвятить командный работа навык самоорганизация другой важный универсальный компетенция течение три день команда работать создание реальный продукт который протестировать результат оценка эксперт участник также выполнение дополнительный задание победа одержать команда тяжко участник гимназия школа эврикаразвитие школа резонанс заниматься создание чатбот использование нейросеть кейс тьюторский служба тяжко освоить нуль два нейросеть использовать свой работа решение разный задача создание презентация выполнение дополнительный задание также написание анализ текст использование искусственный интеллект работа дополнительно оцениваться эксперт защита каждый днятакж сибирский молодёжный ассамблея наградить победитель индивидуальный зачёт школьник студент набрать максимальный количество балл работа рефлексивный эссе который писать конец каждый день первый место номинация занять владислав буртеловый ученик класс гимназия награда победитель участник стать диплом памятный приз партнёр ассамблеитекст фото юлия ермальчукфотография мероприятие httpsvkcomalbum_,томский государственный университет пройти сибирский молодёжный ассамблея профессия будущее искусственный интеллект действие организовать центр развитие современный компетенция студент вуз школьник применять технология искусственный интеллект решение кейс партнёр ассамблеить ассамблея участвовать студент вуз спо ученик класс представлять студент механикоматематический факультет институт прикладной математика компьютерный наука институт образование институт экономика менеджмент также студент выступить качество эксперт организаторовпартнерамикейсодатель событие стать кофейня белок стартап интекласс инвестор стартапстудия университет томск тьюторский служба каждый представить ассамблея реальный проблема свой проект который команда предстоять решить помощь искусственный интеллектаценный навык работа ия участник мочь получить мастеркласса школьник студент учиться создавать презентация использование нейросеть применять анализ информация формировать правильный запрос gpt многий другой полезный вещь кроме провести мастеркласс посвятить командный работа навык самоорганизация другой важный универсальный компетенция течение три день команда работать создание реальный продукт который протестировать результат оценка эксперт участник также выполнение дополнительный задание победа одержать команда тяжко участник гимназия школа эврикаразвитие школа резонанс заниматься создание чатбот использование нейросеть кейс тьюторский служба тяжко освоить нуль два нейросеть использовать свой работа решение разный задача создание презентация выполнение дополнительный задание также написание анализ текст использование искусственный интеллект работа дополнительно оцениваться эксперт защита каждый днятакж сибирский молодёжный ассамблея наградить победитель индивидуальный зачёт школьник студент набрать максимальный количество балл работа рефлексивный эссе который писать конец каждый день первый место номинация занять владислав буртеловый ученик класс гимназия награда победитель участник стать диплом памятный приз партнёр ассамблеитекст фото юлия ермальчукфотография мероприятие httpsvkcomalbum_
