url,date,headline,article
https://io.tsu.ru/tutorcenter/tpost/szy7a3y3b1-kurs-pogruzhenie-v-universitetskuyu-sred,28.12.2024,Курс «Погружение в университетскую среду» отмечен премией ТГУ,"Тьюторская служба ТГУ награждена премией Томского университета за курс «Погружение в университетскую среду»! Награждение прошло на торжественном Ученом совете вуза под занавес 2024 года.В составе авторского коллектива: Вадим Пак, Дарья Мамизерова, Маргарита Панфилова и Алина Суханова. Задача курса — помочь только что поступившим студентам эффективно адаптироваться к университетской жизни. В курс включены как очные встречи с тьюторами и выпускниками университета, так и онлайн-модули, где слушатели знакомятся с деятельностью подразделений университета, которые ведут научную, предпринимательскую, общественную и иные виды деятельности. За выполнение заданий курса студенты получают баллы и зарабатывают рейтинг. Студентов с самыми высокими баллами награждают подарками с символикой ТГУ.В 2024 году курс прошел уже в пятый раз. Поздравляем Тьюторскую службу с наградой!"
https://io.tsu.ru/news/tpost/l66pvy4061-programma-letnei-smeni-tsrsk-dlya-shkoln,24.12.2024,Программа летней смены ЦРСК для школьников — победитель конкурса,"Программа летней смены «Билет в будущее: дерзай и открывай!» заняла первое место на Всероссийском конкурсе «Лучшая программа организаций отдыха детей и их оздоровления» в номинации «Программы стационарных лагерей». В разработке смены приняли участие Центр развития современных компетенций ТГУ и Центр «Планирование карьеры».Конкурс программ и методических кейсов проводился с августа по декабрь 2024 года с целью повышения качества программно-методического обеспечения организаций отдыха детей и их оздоровления. Итоги конкурса подвели в Федеральном центре организационно-методического обеспечения физического воспитания (ФЦОМОФВ) в Москве.Лагерная смена «Билет в будущее: дерзай и открывай!» была впервые реализована в августе этого года в Центре «Солнечный» для 160 школьников Томской области — учеников 5-11 классов. В течение двух недель на смене ребята пробовали себя в научной деятельности под руководством студентов и сотрудников вузов.За организацию образовательной и культурно-досуговой программы смены отвечал ЦРСК ТГУ. В реализации образовательной программы приняли участие студенты и представители факультетов и институтов ТГУ, а также сотрудники Сибирского ботанического сада ТГУ, СКБ «Беспилотные авиационные системы» и ПИШ «Агробиотек» ТГУ.Главной задачей технической смены было дать детям возможность почувствовать себя настоящими учеными и погрузиться в культуру научно-исследовательской деятельности в неформальной обстановке детского лагеря. В рамках смены ребята развивали свои универсальные компетенции, учились решать реальные научные кейсы, предложенные факультетами и институтами, реализовывали собственные проекты, а также участвовали в рефлексиях, чтобы осознать полученный опыт и понять, чем они хотели бы заниматься в университете в будущем."
https://io.tsu.ru/model-razvitia-ped-obrazovania/tpost/xsosfeac61-studenti-tgu-prinyali-uchastie-vuniversi,10.12.2024,Студенты ТГУ приняли участие в университетской VR-битве,"Студенты 10 факультетов и учебных институтов Томского государственного университета в «VR-день в ТГУ» приняли участие в битве в виртуальной реальности. Используя специальное оборудование, они на скорость собирали по схеме различные модели. Такая активность способствует развитию пространственного мышления, а также стрессоустойчивости и скорости реакции.VR-битва была организована в ТГУ впервые. В ней приняли участие около 40 человек, в том числе студенты инженерных специальностей.Внедрение VR-технологий в образовательный процесс инженерных специальностей ведется в Томском государственном университете с прошлого года. Проект реализуют Институт образования ТГУ и Передовая инженерная школа «Агробиотек» при поддержке министерства науки и образования Российской Федерации. Быстрее всех выполнили задание — сложили из виртуальных кубов изображенную на рисунке фигуру — студенты Глеб Махрин (ИПМКН), Виктор Шамаков (ФП) и Никита Клоков (БИ). Второе место поделили Илья Рыбачек (ФИПН), Артем Луганский (ИЭМ) и Платон Матвеев (ФилФ), третье — Анастасия Петлина (ГГФ), Виктория Нестеренко (ИО) и Егор Гранин (HITs).После прохождения конкурсного задания участники заполнили форму обратной связи, в которой оценили по шкале от 1 до 5 потенциальную полезность использования VR-технологий в обучении. Средний балл ответов на этот вопрос составил 4. Также опрос выявил, что студенты позитивно относятся к перспективе внедрения VR в образовательный процесс (средний балл ответов: 4,4), а возможные риски для здоровья оценивают как низкие (средний балл ответов: 2,7). Организаторы планируют повторить формат VR-битвы в начале следующего года. Кроме того, в 2025-2026 учебном году в университете будут внедряться новые образовательные программы с использованием технологий виртуальной реальности, направленные на быструю профессионализацию студентов."
https://io.tsu.ru/tutorcenter/tpost/puk0761xs1-shkolniki-i-studenti-razrabativali-ii-re,10.12.2024,Школьники и студенты разрабатывали ИИ-решения для кейсов партнеров на Ассамблее,"В Томском государственном университете прошла Сибирская молодежная ассамблея «Профессии будущего. Искусственный интеллект в действии», организованная Центром развития современных компетенций ТГУ. Студенты вуза и школьники применяли технологии искусственного интеллекта для решения кейсов партнеров ассамблеи.В ассамблее участвовали студенты вузов и СПО и ученики 8-11 классов. ТГУ представляли студенты механико-математического факультета, Института прикладной математики и компьютерных наук, Института образования и Института экономики и менеджмента. Также студенты ТГУ выступили в качестве экспертов и организаторов.Партнерами-кейсодателями события стали кофейня «Белка», стартап «Интекласс» (инвестор: Стартап-студия университетов Томска) и Тьюторская служба ТГУ. Каждый представил на ассамблее реальную проблему своего проекта, которую командам предстояло решить с помощью искусственного интеллекта.Ценные навыки работы с ИИ участники могли получить на мастер-классах. Школьники и студенты учились создавать презентации с использованием нейросетей, применять их для анализа информации, формировать правильный запрос для GPT и многим другим полезным вещам. Кроме того, были проведены мастер-классы, посвященные командной работе, навыкам самоорганизации и другим важным универсальным компетенциям. В течение трех дней команды работали над созданием реальных продуктов, которые можно протестировать. По результатам оценок от экспертов и участников, а также выполнения дополнительных заданий победу одержала команда «Тяжко» (участники из ТГУ, гимназии № 56, школы «Эврика-развитие» и школы «Резонанс»). Она занималась созданием чат-бота с использованием нейросетей для кейса Тьюторской службы ТГУ.Команда «Тяжко» освоила с нуля две нейросети и использовала их в своей работе для решения разных задач: создания презентаций, выполнения дополнительных заданий, а также написания и анализа текстов. Использование искусственного интеллекта в работах дополнительно оценивалось экспертами на защитах каждого дня.Также на Сибирской молодежной ассамблее наградили победителей в индивидуальном зачете — школьников и студентов, набравших максимальное количество баллов за свою работу и рефлексивные эссе, которые они писали в конце каждого дня. Первое место в этой номинации занял Владислав Буртелов, ученик 11 класса гимназии № 56. Наградой для победителей участников стали дипломы и памятные призы от партнеров ассамблеи.Текст и фото: Юлия ЕрмальчукФотографии с мероприятия здесь: https://vk.com/album-176037946_306791104"
https://io.tsu.ru/tutorcenter/tpost/lhxlu56ov1-institut-obrazovaniya-tgu-vistupil-soorg,04.12.2024,Институт образования ТГУ выступил соорганизатором фестиваля «Тьюторство Сибири»,"Представители Института образования ТГУ стали участниками I Всероссийский фестиваль «Тьюторство Сибири: диалог практик сопровождения». Фестиваль прошел в Томске с 27 по 30 ноября. Он собрал педагогов, тьюторов, наставников, коучей, студентов и преподавателей педагогических специальностей со всей страны. Фестиваль стал площадкой для обсуждений и обмена опытом между участниками из шести регионов: Томской, Иркутской, Новосибирской и Московской областей, Республики Марий Эл и Краснодарского края.Одной из главных целей фестиваля было выявление особенностей практик сопровождения (тьюторства, наставничества и коучинга). В первый день в школе «Эврика-развитие» состоялась панельная дискуссия, на которой спикеры вместе с участниками обсудили тематику фестиваля и рассказали, как они сами пришли к практикам сопровождения в своей профессиональной деятельности.Фестиваль был построен по принципу открытой образовательной среды, поэтому участники могли выбирать и посещать наиболее актуальные для них активности из нескольких предложенных. Программа включала в себя различные мастер-классы, лекции, семинары и практики от экспертов. Также в рамках фестиваля участники могли пройти обучение по тьюторской программе повышения квалификации от ТГПУ и заявить о своем авторском формате на «Карусели образовательных практик». Участники также смогли познакомиться с накопленным потенциалом практик сопровождения в инновационных образовательных организациях Томска. На фестивале была представлена и площадка Института образования ТГУ. На ней участники узнали, что такое тьюторство в понимании и воплощении ИО, как устроена работа тьюторской службы ТГУ и как проходит обучение тьюторству на программе педбакалавриата.Организовали мероприятие томское и новосибирское отделения Межрегиональной тьюторской ассоциации (МТА), университеты ТГУ и ТГПУ, а также школа «Эврика-развитие» и детский сад «Монтессори». Город Томск был выбран как площадка проведения фестиваля «Тьюторство Сибири» неслучайно: именно в томской школе «Эврика-развитие» в 1991 году впервые в России неофициально появилась должность тьютора. Текст: Юлия Ермальчук"
https://io.tsu.ru/bachelor-of-education/tpost/sgztx27vo1-studenti-tgu-rabotali-nad-proektom-onlai,25.11.2024,Студенты ТГУ работали над проектом онлайн-школы амбассадоров возможностей,"Студентка третьего курса Института образования ТГУ Ксения Токмакова приняла участие во II Форуме амбассадоров возможностей России в составе группы Томского государственного университета. В Тюмени команды студентов-амбассадоров проекта «Центры компетенций» президентской платформы «Россия — страна возможностей» (РСВ) разрабатывали проектные решения для партнеров форума и рассуждали, каким они видят будущее Центров компетенций.Амбассадоры Центров компетенций — это студенты — представители возможностей платформы РСВ, которые с помощью своих знаний и умений помогают раскрывать потенциал других студентов в интересах страны. Чтобы стать амбассадором, студент должен активно участвовать в жизни Центра компетенций своего вуза, а также пройти диагностику гибких навыков и онлайн-отбор на президентской платформе.Томский государственный университет на форуме представляли студенты-амбассадоры Центра компетенций ТГУ Ксения Токмакова (ИО, 3 курс), Марсель Сагандыков (АМП «Компьютерная и когнитивная лингвистика», 1 курс), Анастасия Лисьева (ИИК, 5 курс) и Ангелина Фокина (ФИЯ, 1 курс). Ребята успешно прошли конкурсный отбор и смогли отправиться на форум благодаря поддержке управления социальной и молодежной политики ТГУ.В первый день форума участники слушали лекции экспертов о том, как эффективно вести личный блог, какие методы применять при решении конфликтов, как продвигать социальные инициативы и на другие темы. Также в этот день прошел форсайт, где участники рассуждали, каким они видят будущее проекта «Центры компетенций».Второй и третий день были посвящены проектной сессии «Новые вызовы — новые решения». На ней команды разрабатывали проектные решения для партнеров форума: университета, региона и платформы «Россия — страна возможностей». Итогом Форума амбассадоров возможностей стало создание дорожной карты развития команды амбассадоров на 2025 год, включающей предложения студентов. Кроме того, был утвержден манифест, отражающий принципы, ценности и образ участников сообщества."
https://io.tsu.ru/model-razvitia-ped-obrazovania/tpost/lmogidcxy1-na-forume-v-tgu-obsuzhdayut-mehanizmi-po,07.11.2024,На форуме в ТГУ обсуждают механизмы подготовки молодежи для рынка труда,"7 ноября выступлением Валерия Фалькова и экспертной панелью по ускоренному выходу молодежи на рынок труда в ТГУ стартовал III Томский международный форум «Преобразование образования».Форум продлится с 7 по 9 ноября. В мероприятиях принимают участие представители Минобрнауки и Министерства труда и соцзащиты РФ, руководство Ассоциации классических университетов России, руководители четырех ФУМО (по экономике, юриспруденции, физике и химии), а также пилотные университеты, ведущие российские вузы и компании-работодатели. Третий год подряд томский форум «Преобразование образования» организует Институт образования ТГУ при поддержке Минобрнауки РФ. В 2024 году мероприятие получило статус международного. К работе площадок подключатся исследователи из Бразилии, Китая, Испании, Эфиопии и Колумбии. Вместе с зарубежными коллегами российские эксперты будут обсуждать условия, модели и перспективы профессионализации и карьерных стратегий молодежи в практиках университетского образования. Внедрение практик профессионализации студентов, ускоренного выхода на рынок труда должно способствовать преодолению ситуации острого кадрового дефицита. Одна из задач — осмыслить и сформулировать варианты создания в университетском образовании институциональных и педагогических механизмов для этого. Работа форума построена по нескольким трекам. Основной трек, связанный с механизмами обеспечения ускоренного выхода на рынок труда, открыл министр науки и высшего образования Валерий Фальков. Он рассказал о текущих задачах по дальнейшему развитию системы высшего образования. Тему продолжили врио директора Департамента государственной политики в сфере высшего образования МОН Елена Тумакова, заместитель губернатора Томской области по образованию, молодежной политике и цифровому развитию Наталия Киселева, ректор ТГУ Эдуард Галажинский и другие участники экспертной панели «Ускоренный выход молодежи на рынок труда: задачи, проблемы, решения». Спикеры обсудили, насколько рынок труда ждет молодежь и готов ли с ней работать, какие институциональные форматы ускорения выхода на рынок труда заложены в новой модели высшего образования, какая экосистема поддержки профессионализации и построения карьеры может складываться в регионе, таком как Томская область, а также вопрос о роли университетов в подготовке специалистов под текущие запросы работодателей. Трек по профессионализации завершится экспертно-проектировочными семинарами, на которых университетское сообщество будет обсуждать, какие условия в нормативном и в организационном поле необходимо создать, чтобы внедрять новые механизмы. Второй трек форума посвящен изменению принципов работы преподавателей, очерчиванию новых педагогических позиций в образовании. Третий трек — исследовательский: социологи, психологи, педагоги, специалисты по «нейро» будут обсуждать, какие личностные, психофизиологические дефициты мешают молодёжи в раннем возрасте стать членом профессионального коллектива и какие инструменты развития можно задействовать, чтобы студент продуктивно двигался в этом направлении. Региональный трек форума, где участники сессий и генератора управленческих решений будут обсуждать назревшие изменения в отношениях субъектов развития региона, необходимые для складывания особой среды профессионализации молодежи.Параллельно программе форума проходит работа Междисциплинарной школы молодых исследователей образования (Школа МИО). В ней принимают участие студенты ТГУ, ТУСУРа, ТГПУ, НИУ ВШЭ, Челябинского госуниверситета и Бийского филиала Алтайского педагогического университета. Помимо участия в основных мероприятиях форума программа Школы МИО включает конференцию с докладами и проектную сессию с представлением карты междисциплинарных исследований, в которые можно включаться студентам разных специальностей, имеющих отношение к развитию личности и образованию."
https://io.tsu.ru/sociologyofeducationcentre/tpost/o1rk4c2yb1-institut-obrazovaniya-tgu-predstavil-svo,01.11.2024,Институт образования ТГУ представил свои наработки на международной конференции в НИУ ВШЭ,"С 23 по 25 октября в Высшей школе экономики прошла XV Международная конференция исследователей высшего образования (ИВО). Главной темой конференции в 2024 году стал поиск баланса между сохранением в университетах высоких академических стандартов и обеспечением благополучия студентов и преподавателей. Исследовательские наработки Томского государственного университета на конференции представили сотрудники Института образования. В первый день конференции состоялся круглый стол «Психологическое благополучие в вузах: как измерять и что делать?», в рамках которого с докладом выступила директор Института образования ТГУ Елена Суханова. В своем выступлении Елена Анатольевна подняла вопрос о том, что важно учесть в новой системе высшего образования, предполагающей ускоренную профессионализацию студентов, чтобы сохранить их благополучие.Результаты зеркальной лаборатории ТГУ и ВШЭ обсудили на секции «Внеучебная активность в университете». Участники проекта в совместном докладе рассказали о том, как «внеучебка» отражается на различных аспектах благополучия студентов.На встрече консорциума вузов по развитию универсальных компетенций наработки Института образования представил Лев Плюснин, заведующий учебно-научной лабораторией философии образования ИО ТГУ. Лев выступил с докладом «Новый подход к понятию “фундаментальность”: основания ядра высшего образования». Мероприятием-спутником конференции ИВО стал студенческий Хакатон исследователей высшего образования. От ТГУ в Хакатоне приняла участие Александра Сипкина, младший научный сотрудник Центра социологии образования ИО ТГУ, магистрант философского факультета ТГУ. Всего к участию в Хакатоне были допущены 9 студентов из разных вузов России.Участникам предложили на выбор несколько массивов данных о высшем образовании. Исходя из их содержания, студентам нужно было поставить исследовательский вопрос и ответить на него, используя релевантные методы анализа. Александра изучала особенности обучения студентов первого поколения (которые первыми в своей семье получают высшее образование) и выступила с этой темой на финале хакатона."
https://io.tsu.ru/k21center/tpost/ou645rc4y1-tapir-vovlechenie-shkolnikov-vnauku-astu,23.10.2024,"ТАПИР: вовлечение школьников в науку, а студентов — в профессию","С 9 по 12 октября в стенах Томского государственного университета прошел второй научно-исследовательский чемпионат школьников и студентов «ТАПИР». Мероприятие организует Центр развития современных компетенций ТГУ с целью приобщить детей и молодежь к культуре проектно-исследовательской деятельности в университетской среде.В течение трех дней чемпионата участники проводили исследования, темы для которых предоставили девять факультетов ТГУ. В социально-гуманитарном треке команды решали кейсы Института искусств и культуры, факультета журналистики и факультета исторических и политических наук. В естественно-научном — геолого-географического факультета, химического факультета и Биологического института. Задачи для технического трека подготовили радиофизический факультет, факультет инновационных технологий и Высшая IT-школа.Всего в чемпионате приняли участие 113 школьников и студентов из 13 школ и 3 факультетов ТГУ. Было сформировано 25 команд, которые соревновались в младшей и старшей лиге.Команда Ярослава Зиякаева (11 класс, гимназия № 56) «Поздний вечерог» в старшей лиге социально-гуманитарного трека занималась изучением изменений, произошедших со школьной прессой за последние 100 лет. Кира Братчикова (8 класс, школа № 49) вместе со своей командой «Чайный клуб» решала кейс старшей лиги естественно-научного трека от студентов ГГФ. Команды посещали мастер-классы, где эксперты поделились ценным опытом выполнению исследований и презентации научных работ, а также участвовали в челленджах, чтобы заработать дополнительные баллы. В финальный день по итогам всех набранных баллов участников наградили в командном и индивидуальном зачете.Валерия Величко (10 класс, гимназия № 13) получила первое место в индивидуальном зачете старшей лиги, а ее команда «Тринашки» одержала победу в техническом треке. Ребята работали над кейсом РФФ ТГУ о влиянии электромагнитного излучения радиодиапазона на сердечно-сосудистую систему подростка. В проведении рефлексий на чемпионате активно помогали студенты Института образования ТГУ. Они также внесли свой вклад в разработку и организацию образовательного события. Как отмечают организаторы, такой опыт особенно полезен для студентов педагогических специальностей, поскольку способствует их ранней профессионализации. Кроме того, на чемпионате смогли проявить себя студенты факультетов, предоставивших кейсы на «ТАПИР». Они выступали в роли экспертов, оценивающих качество работ и дающих рекомендации. Текст: Юлия ЕрмальчукФото: пресс-служба ТГУ"
https://io.tsu.ru/innovativeeducationalprojects/tpost/74grothup1-direktor-io-tgu-prinyala-uchastie-vo-vst,22.10.2024,Директор ИО ТГУ приняла участие во встрече руководителей ТГУ и МИФИ,"Елена Суханова, директор Института образования ТГУ, рассказала о пилотном проекте ТГУ на встрече представителей ТГУ и МИФИ. На совещании два вуза договорились о совместной деятельности по выстраиванию новой модели высшего образования. 18 октября на встрече представителей двух вузов при участии ректоров Эдуарда Галажинского и Владимира Шевченко томичи рассказали об опыте взаимодействия вуза с лидерами отраслей в разработке программ новой модели. В данном контексте обсуждались также возможные направления работы совместно с ГК «Росатом». Заместитель проректора по образовательной деятельности ТГУ Елена Суханова выступила с кратким сообщением о том, как в университете реализуется пилотный проект по изменению уровней профессионального образования. Проректор МИФИ Елена Весна рассказала о системе взаимодействия с вузами по вопросам подготовки кадров и качества образования в ГК «Росатом». Большой интерес представителей МИФИ вызвала информационно-аналитическая платформа «Роснавык», созданная специалистами ТГУ, и ее возможности для определения запросов рынка труда и проектирования изменений в образовании. После краткого обсуждения два университета запланировали ряд шагов в рамках сетевого взаимодействия. В частности, принято решение о подключении Совета по профессиональным квалификациям в сфере атомной энергии и Ассоциации «Консорциум опорных вузов госкорпорации «Росатом» к обсуждению содержания пилотного проекта и вопросов внедрения новой модели образования. В ближайшее время начнется подготовка к стратегической сессии с участием вузов, а также дивизионов «Росатома» и представителей СПК в сфере атомной энергии: на этой стратсессии участники обсудят актуальные направления развития программ подготовки специалистов для атомной энергетики."
