,tfidf
курс,0.33260191024837743
балл,0.1904161419928556
служба,0.17614261590413594
тьюторский,0.1646512106060419
университетский,0.14676027880794698
маргарита,0.14565706510941104
поздравлять,0.14565706510941104
занавес,0.14565706510941104
годать,0.14565706510941104
алина,0.14565706510941104
премия,0.14565706510941104
награждать,0.14565706510941104
панфилов,0.14565706510941104
награда,0.13365804487580574
авторский,0.13365804487580574
торжественный,0.13365804487580574
онлайнмодуль,0.13365804487580574
награждение,0.13365804487580574
символика,0.13365804487580574
университет,0.125217330969693
адаптироваться,0.12514460453490822
пятый,0.12514460453490822
пак,0.12514460453490822
мамизеров,0.12514460453490822
вадим,0.12514460453490822
зарабатывать,0.12514460453490822
подарок,0.1185410671807064
эффективно,0.1185410671807064
включить,0.1185410671807064
вести,0.1185410671807064
тгуть,0.1185410671807064
общественный,0.1185410671807064
рейтинг,0.1185410671807064
дарья,0.1131455843013029
предпринимательский,0.1131455843013029
деятельность,0.11254590282667361
студент,0.11059041484986319
совет,0.1085837685265708
учёный,0.1085837685265708
поступить,0.10463214396040538
вид,0.10463214396040538
выполнение,0.10114656406769759
знакомиться,0.10114656406769759
состав,0.10114656406769759
иной,0.10114656406769759
наградить,0.10114656406769759
коллектив,0.09802860660620355
слушатель,0.09802860660620355
пройти,0.0973515663715958
тьютор,0.0952080709964278
самый,0.09263312372680006
погружение,0.09263312372680006
очный,0.09026440185722034
задание,0.09026440185722034
выпускник,0.08807130795206797
получать,0.08807130795206797
жизнь,0.08602958637259824
подразделение,0.08602958637259824
суханов,0.07469561042192496
помочь,0.07338013940397349
среда,0.0697519412827175
научный,0.06863508325958947
встреча,0.05931081890673894
задача,0.0577529210491122
высокий,0.05700368545719787
вуз,0.05286767882947064
томский,0.05223124085630336
год,0.047046386803062286
который,0.03840112786939075
прослушать,0.0
простой,0.0
простота,0.0
продвинуться,0.0
продвижение,0.0
просто,0.0
проделать,0.0
продемонстрировать,0.0
продление,0.0
продолжение,0.0
продлить,0.0
продлиться,0.0
просить,0.0
продолжать,0.0
продолжаться,0.0
продолжить,0.0
прототип,0.0
провести,0.0
проводить,0.0
проводиться,0.0
противоречие,0.0
прогностический,0.0
программа,0.0
противник,0.0
программдоцент,0.0
программнометодический,0.0
продолжительность,0.0
программпереть,0.0
программпо,0.0
программтема,0.0
протестировать,0.0
программывместо,0.0
программынавигация,0.0
прогресс,0.0
пространство,0.0
пространственный,0.0
продвигать,0.0
программный,0.0
проектный,0.0
проектовассамблея,0.0
проектынуть,0.0
проектыпобеда,0.0
проектышкола,0.0
проехать,0.0
проживание,0.0
проживать,0.0
прозументовый,0.0
производительность,0.0
производить,0.0
проверить,0.0
производство,0.0
прокачка,0.0
произойти,0.0
происходитдиректор,0.0
происходить,0.0
прокачивать,0.0
происхождение,0.0
прокачать,0.0
прокатиться,0.0
пройтись,0.0
прокариот,0.0
производственный,0.0
продолжиться,0.0
продукт,0.0
продуктивный,0.0
прорывный,0.0
проректор,0.0
проработка,0.0
продумывать,0.0
пропускать,0.0
продумываться,0.0
прописать,0.0
проект,0.0
прокомментировать,0.0
прообраз,0.0
промышленный,0.0
промышленность,0.0
проектировать,0.0
промпартнерапервать,0.0
